Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Nick Bawden (25323446),Nick Bawden,25323446,RB/FLEX,4000,NYJ@NE 11/20/2022 01:00PM ET,NYJ,0
WR,Elijah Moore (25323582),Elijah Moore,25323582,WR/FLEX,4000,NYJ@NE 11/20/2022 01:00PM ET,NYJ,4.49
QB,Jake Luton (25323198),Jake Luton,25323198,QB,4000,LAR@NO 11/20/2022 01:00PM ET,NO,0
QB,Bryce Perkins (25323199),Bryce Perkins,25323199,QB,4000,LAR@NO 11/20/2022 01:00PM ET,LAR,0.28
RB,Jordan Howard (25323390),Jordan Howard,25323390,RB/FLEX,4000,LAR@NO 11/20/2022 01:00PM ET,NO,0.05
RB,Derrick Gore (25323392),Derrick Gore,25323392,RB/FLEX,4000,LAR@NO 11/20/2022 01:00PM ET,NO,0
RB,Adam Prentice (25323394),Adam Prentice,25323394,RB/FLEX,4000,LAR@NO 11/20/2022 01:00PM ET,NO,0.3
RB,Ronnie Rivers (25323396),Ronnie Rivers,25323396,RB/FLEX,4000,LAR@NO 11/20/2022 01:00PM ET,LAR,3.33
TE,Tyler Higbee (25323920),Tyler Higbee,25323920,TE/FLEX,4000,LAR@NO 11/20/2022 01:00PM ET,LAR,9.17
QB,Davis Webb (25323192),Davis Webb,25323192,QB,4000,DET@NYG 11/20/2022 01:00PM ET,NYG,0
QB,Tim Boyle (25323204),Tim Boyle,25323204,QB,4000,DET@NYG 11/20/2022 01:00PM ET,DET,0
RB,Gary Brightwell (25323352),Gary Brightwell,25323352,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,NYG,0.88
RB,Jashaun Corbin (25323354),Jashaun Corbin,25323354,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,NYG,0
RB,Sandro Platzgummer (25323356),Sandro Platzgummer,25323356,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,NYG,0
RB,Craig Reynolds (25323432),Craig Reynolds,25323432,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,DET,3.85
RB,Justin Jackson (25323434),Justin Jackson,25323434,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,DET,1.98
RB,Greg Bell (25323436),Greg Bell,25323436,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,DET,0
RB,Jason Cabinda (25323438),Jason Cabinda,25323438,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,DET,0
RB,Jermar Jefferson (25323440),Jermar Jefferson,25323440,RB/FLEX,4000,DET@NYG 11/20/2022 01:00PM ET,DET,0
QB,Josh Johnson (25323195),Josh Johnson,25323195,QB,4000,LV@DEN 11/20/2022 04:05PM ET,DEN,0
QB,Chase Garbers (25323201),Chase Garbers,25323201,QB,4000,LV@DEN 11/20/2022 04:05PM ET,LV,0
RB,Marlon Mack (25323372),Marlon Mack,25323372,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,DEN,0
RB,Javonte Williams (25323374),Javonte Williams,25323374,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,DEN,10.75
RB,Damarea Crockett (25323376),Damarea Crockett,25323376,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,DEN,0
RB,Devine Ozigbo (25323378),Devine Ozigbo,25323378,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,DEN,0.1
RB,Brandon Bolden (25323406),Brandon Bolden,25323406,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,LV,2.84
RB,Zamir White (25323408),Zamir White,25323408,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,LV,0.21
RB,Brittain Brown (25323410),Brittain Brown,25323410,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,LV,0
RB,Sincere McCormick (25323412),Sincere McCormick,25323412,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,LV,0
RB,Austin Walter (25323414),Austin Walter,25323414,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,LV,0
RB,Jakob Johnson (25323416),Jakob Johnson,25323416,RB/FLEX,4000,LV@DEN 11/20/2022 04:05PM ET,LV,0.29
QB,Will Grier (25323197),Will Grier,25323197,QB,4000,DAL@MIN 11/20/2022 04:25PM ET,DAL,0
QB,David Blough (25323200),David Blough,25323200,QB,4000,DAL@MIN 11/20/2022 04:25PM ET,MIN,0
RB,Qadree Ollison (25323386),Qadree Ollison,25323386,RB/FLEX,4000,DAL@MIN 11/20/2022 04:25PM ET,DAL,0
RB,Rico Dowdle (25323388),Rico Dowdle,25323388,RB/FLEX,4000,DAL@MIN 11/20/2022 04:25PM ET,DAL,0
RB,Kene Nwangwu (25323398),Kene Nwangwu,25323398,RB/FLEX,4000,DAL@MIN 11/20/2022 04:25PM ET,MIN,0
RB,Ty Chandler (25323400),Ty Chandler,25323400,RB/FLEX,4000,DAL@MIN 11/20/2022 04:25PM ET,MIN,0
RB,Bryant Koback (25323402),Bryant Koback,25323402,RB/FLEX,4000,DAL@MIN 11/20/2022 04:25PM ET,MIN,0
RB,C.J. Ham (25323404),C.J. Ham,25323404,RB/FLEX,4000,DAL@MIN 11/20/2022 04:25PM ET,MIN,1.3
