Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Roster Position
63499-44103,RB,Elijah,Elijah McGuire,McGuire,0,1,4500,CLE@KC,KC,CLE,Q,Ankle,,RB/FLEX
63499-27721,WR,Justin,Justin Hardee Sr.,Hardee Sr.,0,1,4500,NYJ@CAR,NYJ,CAR,,,,WR/FLEX
63499-68685,WR,Austin,Austin Mack,Mack,2.520000076,5,4500,DEN@NYG,NYG,DEN,Q,Hamstring,,WR/FLEX
63499-72780,RB,Josh,Josh Hokit,Hokit,0,1,4500,SF@DET,SF,DET,,,,RB/FLEX
63499-68686,WR,C.J.,C.J. Saunders,Saunders,,,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
63499-91214,WR,Stephen,Stephen Guidry,Guidry,0,1,4500,DAL@TB,DAL,TB,,,,WR/FLEX
63499-70749,WR,Ryan,Ryan Becker,Becker,0,2,4500,PHI@ATL,ATL,PHI,IR,Undisclosed,,WR/FLEX
63499-64627,WR,Scotty,Scotty Washington,Washington,0,1,4500,MIN@CIN,CIN,MIN,,,,WR/FLEX
63499-52345,WR,Brandon,Brandon Powell,Powell,1.573333359,15,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-64634,WR,Alex,Alex Bachman,Bachman,0,1,4500,DEN@NYG,NYG,DEN,Q,Undisclosed,,WR/FLEX
63499-42107,WR,Robert,Robert Foster,Foster,1.566666603,3,4500,MIA@NE,MIA,NE,Q,Undisclosed,,WR/FLEX
63499-83083,WR,Justin,Justin Watson,Watson,2.579999924,5,4500,DAL@TB,TB,DAL,NA,Knee,,WR/FLEX
63499-83086,WR,Daurice,Daurice Fountain,Fountain,1.099999984,3,4500,CLE@KC,KC,CLE,,,,WR/FLEX
63499-89230,RB,Cam,Cam Akers,Akers,9.266666667,15,4500,CHI@LAR,LAR,CHI,IR,Achilles,,RB/FLEX
63499-52371,RB,Kalen,Kalen Ballage,Ballage,6.616666794,12,4500,PIT@BUF,PIT,BUF,,,,RB/FLEX
63499-42142,RB,Jordan,Jordan Howard,Howard,3.775000095,8,4500,PHI@ATL,PHI,ATL,,,,RB/FLEX
63499-25760,WR,Allen,Allen Hurns,Hurns,0,1,4500,MIA@NE,MIA,NE,IR,Wrist,,WR/FLEX
63499-62628,WR,DeAndre,DeAndre Carter,Carter,0.233333329,12,4500,LAC@WAS,WAS,LAC,,,,WR/FLEX
63499-91305,WR,Jeremiah,Jeremiah Haydel,Haydel,,,4500,CHI@LAR,LAR,CHI,,,,WR/FLEX
63499-52397,RB,Devante,Devante Downs,Downs,0,1,4500,DEN@NYG,NYG,DEN,,,,RB/FLEX
63499-52405,WR,Jalen,Jalen Hurd,Hurd,0,1,4500,SF@DET,SF,DET,Q,Knee,,WR/FLEX
63499-52409,RB,Jakob,Jakob Johnson,Johnson,1.6875,8,4500,MIA@NE,NE,MIA,,,,RB/FLEX
63499-52410,WR,Josh,Josh Malone,Malone,1.200000048,4,4500,NYJ@CAR,NYJ,CAR,,,,WR/FLEX
63499-89287,WR,Tamorrion,Tamorrion Terry,Terry,,,4500,SEA@IND,SEA,IND,,,,WR/FLEX
63499-54472,WR,Cam,Cam Sims,Sims,6.007142748,14,4500,LAC@WAS,WAS,LAC,,,,WR/FLEX
63499-64718,WR,Kai,Kai Locksley,Locksley,,,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-40148,WR,Ishmael,Ishmael Hyman,Hyman,0,2,4500,NYJ@CAR,CAR,NYJ,,,,WR/FLEX
63499-70868,RB,Damarea,Damarea Crockett,Crockett,,,4500,DEN@NYG,DEN,NYG,,,,RB/FLEX
63499-48344,WR,Albert,Albert Wilson,Wilson,0,1,4500,MIA@NE,MIA,NE,,,,WR/FLEX
63499-130265,WR,John,John Hurst,Hurst,,,4500,LAC@WAS,LAC,WAS,,,,WR/FLEX
63499-130268,WR,Josh,Josh Pearson,Pearson,,,4500,DAL@TB,TB,DAL,,,,WR/FLEX
63499-68835,RB,CJ,CJ Marable,Marable,,,4500,CHI@LAR,CHI,LAR,,,,RB/FLEX
63499-130275,WR,Kristian,Kristian Wilkerson,Wilkerson,0,1,4500,MIA@NE,NE,MIA,,,,WR/FLEX
63499-130274,WR,Isaiah,Isaiah Coulter,Coulter,,,4500,CHI@LAR,CHI,LAR,,,,WR/FLEX
